"filename", "language", "PHP", "JavaScript", "SCSS", "Markdown", "CSS", "JSON", "XML", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\Projet_fin_d_etude\package.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"c:\xampp\htdocs\Projet_fin_d_etude\phpunit.xml", "XML", 0, 0, 0, 0, 0, 0, 29, 0, 2, 1, 32
"c:\xampp\htdocs\Projet_fin_d_etude\public\css\app.css", "CSS", 0, 0, 0, 0, 3096, 0, 0, 0, 4, 64, 3164
"c:\xampp\htdocs\Projet_fin_d_etude\public\index.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 30, 12, 56
"c:\xampp\htdocs\Projet_fin_d_etude\public\js\app.js", "JavaScript", 0, 613, 0, 0, 0, 0, 0, 0, 315, 279, 1207
"c:\xampp\htdocs\Projet_fin_d_etude\public\mix-manifest.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"c:\xampp\htdocs\Projet_fin_d_etude\resources\css\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Projet_fin_d_etude\resources\js\app.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\xampp\htdocs\Projet_fin_d_etude\resources\js\bootstrap.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 18, 9, 33
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\_toggle-nav.scss", "SCSS", 0, 0, 55, 0, 0, 0, 0, 0, 0, 3, 58
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\_utilities.scss", "SCSS", 0, 0, 55, 0, 0, 0, 0, 0, 0, 8, 63
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\_variables.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 2, 5, 13
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\app.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\_authentification.scss", "SCSS", 0, 0, 105, 0, 0, 0, 0, 0, 0, 1, 106
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\_component.scss", "SCSS", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\_follow.scss", "SCSS", 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\_inscription.scss", "SCSS", 0, 0, 93, 0, 0, 0, 0, 0, 0, 3, 96
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\_nav.scss", "SCSS", 0, 0, 130, 0, 0, 0, 0, 0, 0, 1, 131
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\_reports.scss", "SCSS", 0, 0, 91, 0, 0, 0, 0, 0, 0, 2, 93
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\_search-card.scss", "SCSS", 0, 0, 101, 0, 0, 0, 0, 0, 0, 1, 102
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\elearning\_create-module.scss", "SCSS", 0, 0, 95, 0, 0, 0, 0, 0, 0, 1, 96
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\elearning\_create-note.scss", "SCSS", 0, 0, 46, 0, 0, 0, 0, 0, 0, 2, 48
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\elearning\_elearning.scss", "SCSS", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\elearning\_module-show.scss", "SCSS", 0, 0, 341, 0, 0, 0, 0, 0, 0, 1, 342
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\elearning\_module.scss", "SCSS", 0, 0, 191, 0, 0, 0, 0, 0, 0, 1, 192
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\elearning\_question.scss", "SCSS", 0, 0, 145, 0, 0, 0, 0, 0, 0, 1, 146
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\elearning\_releve.scss", "SCSS", 0, 0, 43, 0, 0, 0, 0, 0, 0, 2, 45
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\elearning\_table-note.scss", "SCSS", 0, 0, 76, 0, 0, 0, 0, 0, 0, 2, 78
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\enseignants\_create.scss", "SCSS", 0, 0, 90, 0, 0, 0, 0, 0, 0, 1, 91
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\enseignants\_enseignants.scss", "SCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\posts\_comments.scss", "SCSS", 0, 0, 175, 0, 0, 0, 0, 0, 0, 1, 176
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\posts\_new-post.scss", "SCSS", 0, 0, 73, 0, 0, 0, 0, 0, 0, 1, 74
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\posts\_post.scss", "SCSS", 0, 0, 182, 0, 0, 0, 0, 0, 0, 2, 184
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\profile\_index-profile.scss", "SCSS", 0, 0, 225, 0, 0, 0, 0, 0, 0, 1, 226
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\component\resources\resources.scss", "SCSS", 0, 0, 314, 0, 0, 0, 0, 0, 0, 52, 366
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\phone\_follow.scss", "SCSS", 0, 0, 26, 0, 0, 0, 0, 0, 0, 1, 27
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\phone\_phone-auth.scss", "SCSS", 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\phone\_phone-nav.scss", "SCSS", 0, 0, 85, 0, 0, 0, 0, 0, 0, 2, 87
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\phone\_phone-posts.scss", "SCSS", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 21
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\phone\_phone.scss", "SCSS", 0, 0, 49, 0, 0, 0, 0, 0, 0, 1, 50
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\phone\_search-card.scss", "SCSS", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\phone\elearning\_module.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\phone\profile\_phone-index-profile.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\resources\_actions.scss", "SCSS", 0, 0, 74, 0, 0, 0, 0, 0, 0, 2, 76
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\resources\_alerts.scss", "SCSS", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\resources\_button.scss", "SCSS", 0, 0, 46, 0, 0, 0, 0, 0, 0, 1, 47
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\resources\_confirm.scss", "SCSS", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\resources\_loading.scss", "SCSS", 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\resources\_messages.scss", "SCSS", 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\xampp\htdocs\Projet_fin_d_etude\resources\sass\resources\_resources.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 0, 6, 12
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\layouts\app.blade.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 18, 57
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\auth\authentification.blade.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\auth\login.blade.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 8, 40
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\auth\register.blade.php", "PHP", 99, 0, 0, 0, 0, 0, 0, 0, 0, 17, 116
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\elearning.blade.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\enseignants\index.blade.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\etudiants\index.blade.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\category.blade.php", "PHP", 69, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\create-category.blade.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\create-document.blade.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\create.blade.php", "PHP", 106, 0, 0, 0, 0, 0, 0, 0, 0, 9, 115
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\index-document.blade.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 0, 2, 69
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\index.blade.php", "PHP", 157, 0, 0, 0, 0, 0, 0, 0, 0, 13, 170
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\inscrir-module.blade.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\modules-inscrit.blade.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\notes\create-or-update.blade.php", "PHP", 53, 0, 0, 0, 0, 0, 0, 0, 0, 1, 54
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\notes\remplir.blade.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 5, 35
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\notes\show.blade.php", "PHP", 416, 0, 0, 0, 0, 0, 0, 0, 0, 6, 422
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\notes\table-row.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\notes\table.blade.php", "PHP", 62, 0, 0, 0, 0, 0, 0, 0, 0, 2, 64
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\questions\create.blade.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\questions\delete.blade.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\questions\index-all.blade.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\questions\index.blade.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\questions\like.blade.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\questions\reponses\create.blade.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\questions\reponses\index.blade.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\elearning\modules\show.blade.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 10, 68
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\enseignants\create.blade.php", "PHP", 84, 0, 0, 0, 0, 0, 0, 0, 0, 17, 101
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\enseignants\index.blade.php", "PHP", 165, 0, 0, 0, 0, 0, 0, 0, 0, 11, 176
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\home.blade.php", "PHP", 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\inscription.blade.php", "PHP", 178, 0, 0, 0, 0, 0, 0, 0, 0, 12, 190
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\moderator\reports.blade.php", "PHP", 46, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\moderator\suspendre.blade.php", "PHP", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\moderator\user-card.blade.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\parts\nav.blade.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 107, 7, 144
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\posts\comment.blade.php", "PHP", 55, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\posts\create-comment.blade.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\posts\create-post.blade.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\posts\delete-post.blade.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\posts\index-post.blade.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 0, 4, 70
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\posts\index-posts.blade.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\posts\index-user-posts.blade.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\posts\like-comment.blade.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\posts\like.blade.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\posts\report-post.blade.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\posts\share-post.blade.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\posts\show-post.blade.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\profile\create-document.blade.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\profile\documents.blade.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\profile\follow-user.blade.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\profile\index-profile.blade.php", "PHP", 124, 0, 0, 0, 0, 0, 0, 0, 0, 14, 138
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\profile\report-profile.blade.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 2, 37
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\resources\create-category.blade.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\resources\create-document.blade.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\resources\index-category.blade.php", "PHP", 81, 0, 0, 0, 0, 0, 0, 0, 0, 10, 91
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\resources\index-document.blade.php", "PHP", 67, 0, 0, 0, 0, 0, 0, 0, 0, 3, 70
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\resources\index.blade.php", "PHP", 26, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\users\follow.blade.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 0, 0, 6, 65
"c:\xampp\htdocs\Projet_fin_d_etude\resources\views\livewire\users\search.blade.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 0, 0, 1, 49
"c:\xampp\htdocs\Projet_fin_d_etude\routes\api.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\Projet_fin_d_etude\routes\channels.php", "PHP", 5, 0, 0, 0, 0, 0, 0, 0, 10, 4, 19
"c:\xampp\htdocs\Projet_fin_d_etude\routes\console.php", "PHP", 6, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\xampp\htdocs\Projet_fin_d_etude\routes\web.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 4, 5, 28
"c:\xampp\htdocs\Projet_fin_d_etude\tests\CreatesApplication.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 5, 6, 23
"c:\xampp\htdocs\Projet_fin_d_etude\tests\Feature\ExampleTest.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\xampp\htdocs\Projet_fin_d_etude\tests\TestCase.php", "PHP", 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\xampp\htdocs\Projet_fin_d_etude\tests\Unit\ExampleTest.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 5, 4, 19
"c:\xampp\htdocs\Projet_fin_d_etude\vendor\spatie\ignition\resources\compiled\ignition.css", "CSS", 0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3
"c:\xampp\htdocs\Projet_fin_d_etude\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\xampp\htdocs\Projet_fin_d_etude\webpack.mix.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 10, 3, 17
"Total", "-", 7918, 631, 3181, 44, 3097, 25121, 29, 12, 1993, 2031, 44057
